"lsoa11cd","CAUTH18NM","lsoa11nm","GRP_CD","GRP_LABEL"
"E01010568","West Yorkshire","Bradford 016A",6,"e-Mainstream"
"E01010569","West Yorkshire","Bradford 016B",7,"Passive and Uncommitted Users"
"E01010570","West Yorkshire","Bradford 018A",5,"e-Rational Utilitarians"
"E01010571","West Yorkshire","Bradford 016C",6,"e-Mainstream"
"E01010572","West Yorkshire","Bradford 016D",8,"Digital Seniors"
"E01010573","West Yorkshire","Bradford 013A",5,"e-Rational Utilitarians"
"E01010574","West Yorkshire","Bradford 013B",8,"Digital Seniors"
"E01010575","West Yorkshire","Bradford 013C",5,"e-Rational Utilitarians"
"E01010576","West Yorkshire","Bradford 016E",5,"e-Rational Utilitarians"
"E01010577","West Yorkshire","Bradford 013D",5,"e-Rational Utilitarians"
"E01010578","West Yorkshire","Bradford 015A",3,"e-Veterans"
"E01010579","West Yorkshire","Bradford 010A",5,"e-Rational Utilitarians"
"E01010580","West Yorkshire","Bradford 010B",3,"e-Veterans"
"E01010581","West Yorkshire","Bradford 015B",6,"e-Mainstream"
"E01010582","West Yorkshire","Bradford 015C",3,"e-Veterans"
"E01010583","West Yorkshire","Bradford 018B",7,"Passive and Uncommitted Users"
"E01010584","West Yorkshire","Bradford 015D",7,"Passive and Uncommitted Users"
"E01010585","West Yorkshire","Bradford 015E",6,"e-Mainstream"
"E01010586","West Yorkshire","Bradford 022A",5,"e-Rational Utilitarians"
"E01010587","West Yorkshire","Bradford 022B",5,"e-Rational Utilitarians"
"E01010588","West Yorkshire","Bradford 022C",6,"e-Mainstream"
"E01010589","West Yorkshire","Bradford 022D",5,"e-Rational Utilitarians"
"E01010590","West Yorkshire","Bradford 031A",5,"e-Rational Utilitarians"
"E01010591","West Yorkshire","Bradford 022E",7,"Passive and Uncommitted Users"
"E01010592","West Yorkshire","Bradford 031B",8,"Digital Seniors"
"E01010593","West Yorkshire","Bradford 022F",8,"Digital Seniors"
"E01010594","West Yorkshire","Bradford 031C",6,"e-Mainstream"
"E01010595","West Yorkshire","Bradford 031D",6,"e-Mainstream"
"E01010596","West Yorkshire","Bradford 022G",5,"e-Rational Utilitarians"
"E01010597","West Yorkshire","Bradford 028A",7,"Passive and Uncommitted Users"
"E01010598","West Yorkshire","Bradford 028B",7,"Passive and Uncommitted Users"
"E01010599","West Yorkshire","Bradford 028C",6,"e-Mainstream"
"E01010600","West Yorkshire","Bradford 028D",7,"Passive and Uncommitted Users"
"E01010601","West Yorkshire","Bradford 032A",6,"e-Mainstream"
"E01010602","West Yorkshire","Bradford 028E",7,"Passive and Uncommitted Users"
"E01010603","West Yorkshire","Bradford 024A",6,"e-Mainstream"
"E01010604","West Yorkshire","Bradford 024B",8,"Digital Seniors"
"E01010605","West Yorkshire","Bradford 024C",7,"Passive and Uncommitted Users"
"E01010606","West Yorkshire","Bradford 039A",10,"e-Withdrawn"
"E01010607","West Yorkshire","Bradford 039B",10,"e-Withdrawn"
"E01010608","West Yorkshire","Bradford 045A",10,"e-Withdrawn"
"E01010609","West Yorkshire","Bradford 046A",10,"e-Withdrawn"
"E01010610","West Yorkshire","Bradford 046B",10,"e-Withdrawn"
"E01010611","West Yorkshire","Bradford 046C",10,"e-Withdrawn"
"E01010612","West Yorkshire","Bradford 052A",10,"e-Withdrawn"
"E01010613","West Yorkshire","Bradford 045B",10,"e-Withdrawn"
"E01010614","West Yorkshire","Bradford 046D",7,"Passive and Uncommitted Users"
"E01010615","West Yorkshire","Bradford 053A",7,"Passive and Uncommitted Users"
"E01010616","West Yorkshire","Bradford 053B",10,"e-Withdrawn"
"E01010617","West Yorkshire","Bradford 039C",10,"e-Withdrawn"
"E01010618","West Yorkshire","Bradford 038A",10,"e-Withdrawn"
"E01010619","West Yorkshire","Bradford 038B",10,"e-Withdrawn"
"E01010620","West Yorkshire","Bradford 042A",10,"e-Withdrawn"
"E01010621","West Yorkshire","Bradford 042B",10,"e-Withdrawn"
"E01010622","West Yorkshire","Bradford 042C",10,"e-Withdrawn"
"E01010623","West Yorkshire","Bradford 042D",10,"e-Withdrawn"
"E01010624","West Yorkshire","Bradford 042E",10,"e-Withdrawn"
"E01010625","West Yorkshire","Bradford 038C",10,"e-Withdrawn"
"E01010626","West Yorkshire","Bradford 038D",10,"e-Withdrawn"
"E01010627","West Yorkshire","Bradford 038E",10,"e-Withdrawn"
"E01010628","West Yorkshire","Bradford 040A",7,"Passive and Uncommitted Users"
"E01010629","West Yorkshire","Bradford 040B",7,"Passive and Uncommitted Users"
"E01010630","West Yorkshire","Bradford 040C",10,"e-Withdrawn"
"E01010631","West Yorkshire","Bradford 040D",10,"e-Withdrawn"
"E01010632","West Yorkshire","Bradford 040E",7,"Passive and Uncommitted Users"
"E01010633","West Yorkshire","Bradford 047A",6,"e-Mainstream"
"E01010634","West Yorkshire","Bradford 047B",6,"e-Mainstream"
"E01010635","West Yorkshire","Bradford 047C",10,"e-Withdrawn"
"E01010636","West Yorkshire","Bradford 047D",6,"e-Mainstream"
"E01010637","West Yorkshire","Bradford 047E",4,"Youthful Urban Fringe"
"E01010638","West Yorkshire","Bradford 004A",5,"e-Rational Utilitarians"
"E01010639","West Yorkshire","Bradford 004B",8,"Digital Seniors"
"E01010640","West Yorkshire","Bradford 004C",6,"e-Mainstream"
"E01010641","West Yorkshire","Bradford 004D",8,"Digital Seniors"
"E01010642","West Yorkshire","Bradford 004E",5,"e-Rational Utilitarians"
"E01010643","West Yorkshire","Bradford 004F",6,"e-Mainstream"
"E01010644","West Yorkshire","Bradford 004G",6,"e-Mainstream"
"E01010645","West Yorkshire","Bradford 004H",5,"e-Rational Utilitarians"
"E01010646","West Yorkshire","Bradford 001A",5,"e-Rational Utilitarians"
"E01010647","West Yorkshire","Bradford 001B",5,"e-Rational Utilitarians"
"E01010648","West Yorkshire","Bradford 001C",5,"e-Rational Utilitarians"
"E01010649","West Yorkshire","Bradford 027A",7,"Passive and Uncommitted Users"
"E01010650","West Yorkshire","Bradford 027B",7,"Passive and Uncommitted Users"
"E01010651","West Yorkshire","Bradford 032B",6,"e-Mainstream"
"E01010652","West Yorkshire","Bradford 026A",7,"Passive and Uncommitted Users"
"E01010653","West Yorkshire","Bradford 026B",7,"Passive and Uncommitted Users"
"E01010654","West Yorkshire","Bradford 027C",10,"e-Withdrawn"
"E01010655","West Yorkshire","Bradford 026C",7,"Passive and Uncommitted Users"
"E01010656","West Yorkshire","Bradford 026D",7,"Passive and Uncommitted Users"
"E01010657","West Yorkshire","Bradford 026E",6,"e-Mainstream"
"E01010658","West Yorkshire","Bradford 041A",10,"e-Withdrawn"
"E01010659","West Yorkshire","Bradford 049A",10,"e-Withdrawn"
"E01010662","West Yorkshire","Bradford 049D",6,"e-Mainstream"
"E01010663","West Yorkshire","Bradford 050A",10,"e-Withdrawn"
"E01010664","West Yorkshire","Bradford 049E",7,"Passive and Uncommitted Users"
"E01010665","West Yorkshire","Bradford 050B",7,"Passive and Uncommitted Users"
"E01010666","West Yorkshire","Bradford 050C",10,"e-Withdrawn"
"E01010667","West Yorkshire","Bradford 050D",10,"e-Withdrawn"
"E01010668","West Yorkshire","Bradford 055A",7,"Passive and Uncommitted Users"
"E01010669","West Yorkshire","Bradford 030A",10,"e-Withdrawn"
"E01010670","West Yorkshire","Bradford 029A",4,"Youthful Urban Fringe"
"E01010671","West Yorkshire","Bradford 029B",10,"e-Withdrawn"
"E01010672","West Yorkshire","Bradford 036A",6,"e-Mainstream"
"E01010673","West Yorkshire","Bradford 029C",10,"e-Withdrawn"
"E01010674","West Yorkshire","Bradford 030B",10,"e-Withdrawn"
"E01010675","West Yorkshire","Bradford 029D",7,"Passive and Uncommitted Users"
"E01010676","West Yorkshire","Bradford 034A",10,"e-Withdrawn"
"E01010677","West Yorkshire","Bradford 030C",10,"e-Withdrawn"
"E01010678","West Yorkshire","Bradford 036B",6,"e-Mainstream"
"E01010679","West Yorkshire","Bradford 034B",10,"e-Withdrawn"
"E01010680","West Yorkshire","Bradford 019A",7,"Passive and Uncommitted Users"
"E01010681","West Yorkshire","Bradford 019B",3,"e-Veterans"
"E01010682","West Yorkshire","Bradford 019C",7,"Passive and Uncommitted Users"
"E01010683","West Yorkshire","Bradford 017A",3,"e-Veterans"
"E01010684","West Yorkshire","Bradford 017B",6,"e-Mainstream"
"E01010685","West Yorkshire","Bradford 017C",5,"e-Rational Utilitarians"
"E01010686","West Yorkshire","Bradford 017D",8,"Digital Seniors"
"E01010687","West Yorkshire","Bradford 019D",3,"e-Veterans"
"E01010688","West Yorkshire","Bradford 019E",6,"e-Mainstream"
"E01010689","West Yorkshire","Bradford 019F",3,"e-Veterans"
"E01010690","West Yorkshire","Bradford 019G",6,"e-Mainstream"
"E01010691","West Yorkshire","Bradford 002A",5,"e-Rational Utilitarians"
"E01010692","West Yorkshire","Bradford 001D",5,"e-Rational Utilitarians"
"E01010693","West Yorkshire","Bradford 002B",5,"e-Rational Utilitarians"
"E01010694","West Yorkshire","Bradford 002C",5,"e-Rational Utilitarians"
"E01010695","West Yorkshire","Bradford 002D",3,"e-Veterans"
"E01010696","West Yorkshire","Bradford 002E",5,"e-Rational Utilitarians"
"E01010697","West Yorkshire","Bradford 002F",3,"e-Veterans"
"E01010698","West Yorkshire","Bradford 002G",3,"e-Veterans"
"E01010699","West Yorkshire","Bradford 002H",8,"Digital Seniors"
"E01010700","West Yorkshire","Bradford 008A",10,"e-Withdrawn"
"E01010701","West Yorkshire","Bradford 008B",10,"e-Withdrawn"
"E01010702","West Yorkshire","Bradford 008C",10,"e-Withdrawn"
"E01010703","West Yorkshire","Bradford 008D",7,"Passive and Uncommitted Users"
"E01010704","West Yorkshire","Bradford 008E",7,"Passive and Uncommitted Users"
"E01010705","West Yorkshire","Bradford 008F",8,"Digital Seniors"
"E01010706","West Yorkshire","Bradford 006A",5,"e-Rational Utilitarians"
"E01010707","West Yorkshire","Bradford 006B",5,"e-Rational Utilitarians"
"E01010708","West Yorkshire","Bradford 006C",6,"e-Mainstream"
"E01010709","West Yorkshire","Bradford 006D",6,"e-Mainstream"
"E01010710","West Yorkshire","Bradford 008G",10,"e-Withdrawn"
"E01010711","West Yorkshire","Bradford 011A",10,"e-Withdrawn"
"E01010712","West Yorkshire","Bradford 009A",7,"Passive and Uncommitted Users"
"E01010713","West Yorkshire","Bradford 011B",7,"Passive and Uncommitted Users"
"E01010714","West Yorkshire","Bradford 011C",7,"Passive and Uncommitted Users"
"E01010715","West Yorkshire","Bradford 012A",7,"Passive and Uncommitted Users"
"E01010716","West Yorkshire","Bradford 011D",7,"Passive and Uncommitted Users"
"E01010717","West Yorkshire","Bradford 012B",7,"Passive and Uncommitted Users"
"E01010718","West Yorkshire","Bradford 012C",7,"Passive and Uncommitted Users"
"E01010719","West Yorkshire","Bradford 007A",10,"e-Withdrawn"
"E01010720","West Yorkshire","Bradford 009B",10,"e-Withdrawn"
"E01010721","West Yorkshire","Bradford 009C",10,"e-Withdrawn"
"E01010722","West Yorkshire","Bradford 014A",7,"Passive and Uncommitted Users"
"E01010723","West Yorkshire","Bradford 009D",10,"e-Withdrawn"
"E01010724","West Yorkshire","Bradford 009E",10,"e-Withdrawn"
"E01010725","West Yorkshire","Bradford 009F",7,"Passive and Uncommitted Users"
"E01010726","West Yorkshire","Bradford 012D",8,"Digital Seniors"
"E01010727","West Yorkshire","Bradford 007B",6,"e-Mainstream"
"E01010728","West Yorkshire","Bradford 007C",10,"e-Withdrawn"
"E01010729","West Yorkshire","Bradford 007D",8,"Digital Seniors"
"E01010730","West Yorkshire","Bradford 045C",10,"e-Withdrawn"
"E01010731","West Yorkshire","Bradford 048A",7,"Passive and Uncommitted Users"
"E01010732","West Yorkshire","Bradford 048B",10,"e-Withdrawn"
"E01010733","West Yorkshire","Bradford 048C",10,"e-Withdrawn"
"E01010734","West Yorkshire","Bradford 045D",7,"Passive and Uncommitted Users"
"E01010735","West Yorkshire","Bradford 051A",10,"e-Withdrawn"
"E01010736","West Yorkshire","Bradford 048D",10,"e-Withdrawn"
"E01010737","West Yorkshire","Bradford 048E",10,"e-Withdrawn"
"E01010738","West Yorkshire","Bradford 051B",10,"e-Withdrawn"
"E01010739","West Yorkshire","Bradford 051C",10,"e-Withdrawn"
"E01010740","West Yorkshire","Bradford 051D",10,"e-Withdrawn"
"E01010741","West Yorkshire","Bradford 059A",6,"e-Mainstream"
"E01010742","West Yorkshire","Bradford 053C",10,"e-Withdrawn"
"E01010743","West Yorkshire","Bradford 053D",10,"e-Withdrawn"
"E01010744","West Yorkshire","Bradford 051E",10,"e-Withdrawn"
"E01010745","West Yorkshire","Bradford 056A",10,"e-Withdrawn"
"E01010746","West Yorkshire","Bradford 060A",7,"Passive and Uncommitted Users"
"E01010747","West Yorkshire","Bradford 056B",7,"Passive and Uncommitted Users"
"E01010748","West Yorkshire","Bradford 056C",10,"e-Withdrawn"
"E01010749","West Yorkshire","Bradford 056D",7,"Passive and Uncommitted Users"
"E01010750","West Yorkshire","Bradford 060B",7,"Passive and Uncommitted Users"
"E01010751","West Yorkshire","Bradford 060C",7,"Passive and Uncommitted Users"
"E01010752","West Yorkshire","Bradford 058A",6,"e-Mainstream"
"E01010753","West Yorkshire","Bradford 058B",8,"Digital Seniors"
"E01010754","West Yorkshire","Bradford 058C",6,"e-Mainstream"
"E01010755","West Yorkshire","Bradford 055B",7,"Passive and Uncommitted Users"
"E01010756","West Yorkshire","Bradford 058D",6,"e-Mainstream"
"E01010758","West Yorkshire","Bradford 058E",3,"e-Veterans"
"E01010759","West Yorkshire","Bradford 058F",7,"Passive and Uncommitted Users"
"E01010760","West Yorkshire","Bradford 058G",3,"e-Veterans"
"E01010761","West Yorkshire","Bradford 049G",7,"Passive and Uncommitted Users"
"E01010762","West Yorkshire","Bradford 055C",7,"Passive and Uncommitted Users"
"E01010763","West Yorkshire","Bradford 055D",7,"Passive and Uncommitted Users"
"E01010764","West Yorkshire","Bradford 010C",5,"e-Rational Utilitarians"
"E01010765","West Yorkshire","Bradford 010D",8,"Digital Seniors"
"E01010766","West Yorkshire","Bradford 010E",5,"e-Rational Utilitarians"
"E01010767","West Yorkshire","Bradford 003A",5,"e-Rational Utilitarians"
"E01010768","West Yorkshire","Bradford 003B",3,"e-Veterans"
"E01010769","West Yorkshire","Bradford 003C",5,"e-Rational Utilitarians"
"E01010770","West Yorkshire","Bradford 005A",3,"e-Veterans"
"E01010771","West Yorkshire","Bradford 003D",5,"e-Rational Utilitarians"
"E01010772","West Yorkshire","Bradford 005B",5,"e-Rational Utilitarians"
"E01010773","West Yorkshire","Bradford 005C",3,"e-Veterans"
"E01010774","West Yorkshire","Bradford 005D",5,"e-Rational Utilitarians"
"E01010775","West Yorkshire","Bradford 024D",6,"e-Mainstream"
"E01010776","West Yorkshire","Bradford 021A",7,"Passive and Uncommitted Users"
"E01010777","West Yorkshire","Bradford 021B",10,"e-Withdrawn"
"E01010778","West Yorkshire","Bradford 024E",7,"Passive and Uncommitted Users"
"E01010779","West Yorkshire","Bradford 021C",7,"Passive and Uncommitted Users"
"E01010781","West Yorkshire","Bradford 021D",6,"e-Mainstream"
"E01010782","West Yorkshire","Bradford 020B",7,"Passive and Uncommitted Users"
"E01010783","West Yorkshire","Bradford 021E",7,"Passive and Uncommitted Users"
"E01010784","West Yorkshire","Bradford 018C",6,"e-Mainstream"
"E01010785","West Yorkshire","Bradford 018D",3,"e-Veterans"
"E01010786","West Yorkshire","Bradford 018E",3,"e-Veterans"
"E01010787","West Yorkshire","Bradford 020C",6,"e-Mainstream"
"E01010788","West Yorkshire","Bradford 020D",6,"e-Mainstream"
"E01010789","West Yorkshire","Bradford 025A",7,"Passive and Uncommitted Users"
"E01010790","West Yorkshire","Bradford 018F",6,"e-Mainstream"
"E01010791","West Yorkshire","Bradford 025B",7,"Passive and Uncommitted Users"
"E01010792","West Yorkshire","Bradford 025C",10,"e-Withdrawn"
"E01010793","West Yorkshire","Bradford 025D",7,"Passive and Uncommitted Users"
"E01010794","West Yorkshire","Bradford 043A",7,"Passive and Uncommitted Users"
"E01010795","West Yorkshire","Bradford 043B",6,"e-Mainstream"
"E01010796","West Yorkshire","Bradford 043C",7,"Passive and Uncommitted Users"
"E01010797","West Yorkshire","Bradford 043D",3,"e-Veterans"
"E01010798","West Yorkshire","Bradford 043E",6,"e-Mainstream"
"E01010799","West Yorkshire","Bradford 036C",7,"Passive and Uncommitted Users"
"E01010800","West Yorkshire","Bradford 036D",10,"e-Withdrawn"
"E01010801","West Yorkshire","Bradford 036E",7,"Passive and Uncommitted Users"
"E01010802","West Yorkshire","Bradford 036F",7,"Passive and Uncommitted Users"
"E01010803","West Yorkshire","Bradford 037A",10,"e-Withdrawn"
"E01010804","West Yorkshire","Bradford 033A",10,"e-Withdrawn"
"E01010805","West Yorkshire","Bradford 030D",7,"Passive and Uncommitted Users"
"E01010806","West Yorkshire","Bradford 033B",10,"e-Withdrawn"
"E01010807","West Yorkshire","Bradford 033C",10,"e-Withdrawn"
"E01010808","West Yorkshire","Bradford 033D",10,"e-Withdrawn"
"E01010809","West Yorkshire","Bradford 033E",10,"e-Withdrawn"
"E01010810","West Yorkshire","Bradford 037B",10,"e-Withdrawn"
"E01010811","West Yorkshire","Bradford 037C",10,"e-Withdrawn"
"E01010812","West Yorkshire","Bradford 041B",10,"e-Withdrawn"
"E01010813","West Yorkshire","Bradford 037D",10,"e-Withdrawn"
"E01010814","West Yorkshire","Bradford 057A",7,"Passive and Uncommitted Users"
"E01010815","West Yorkshire","Bradford 057B",6,"e-Mainstream"
"E01010816","West Yorkshire","Bradford 057C",6,"e-Mainstream"
"E01010817","West Yorkshire","Bradford 057D",10,"e-Withdrawn"
"E01010818","West Yorkshire","Bradford 057E",6,"e-Mainstream"
"E01010819","West Yorkshire","Bradford 052B",10,"e-Withdrawn"
"E01010820","West Yorkshire","Bradford 052C",10,"e-Withdrawn"
"E01010821","West Yorkshire","Bradford 052D",7,"Passive and Uncommitted Users"
"E01010822","West Yorkshire","Bradford 052E",10,"e-Withdrawn"
"E01010824","West Yorkshire","Bradford 034C",10,"e-Withdrawn"
"E01010825","West Yorkshire","Bradford 032C",6,"e-Mainstream"
"E01010826","West Yorkshire","Bradford 027D",10,"e-Withdrawn"
"E01010827","West Yorkshire","Bradford 032D",7,"Passive and Uncommitted Users"
"E01010828","West Yorkshire","Bradford 035A",7,"Passive and Uncommitted Users"
"E01010829","West Yorkshire","Bradford 035B",10,"e-Withdrawn"
"E01010830","West Yorkshire","Bradford 035C",10,"e-Withdrawn"
"E01010831","West Yorkshire","Bradford 035D",10,"e-Withdrawn"
"E01010832","West Yorkshire","Bradford 035E",10,"e-Withdrawn"
"E01010833","West Yorkshire","Bradford 041C",10,"e-Withdrawn"
"E01010834","West Yorkshire","Bradford 044A",1,"e-Cultural Creators"
"E01010835","West Yorkshire","Bradford 044B",10,"e-Withdrawn"
"E01010836","West Yorkshire","Bradford 044C",4,"Youthful Urban Fringe"
"E01010837","West Yorkshire","Bradford 044D",10,"e-Withdrawn"
"E01010838","West Yorkshire","Bradford 044E",10,"e-Withdrawn"
"E01010839","West Yorkshire","Bradford 044F",10,"e-Withdrawn"
"E01010840","West Yorkshire","Bradford 034D",10,"e-Withdrawn"
"E01010841","West Yorkshire","Bradford 034E",10,"e-Withdrawn"
"E01010842","West Yorkshire","Bradford 039E",10,"e-Withdrawn"
"E01010843","West Yorkshire","Bradford 041D",10,"e-Withdrawn"
"E01010845","West Yorkshire","Bradford 059B",10,"e-Withdrawn"
"E01010846","West Yorkshire","Bradford 055E",7,"Passive and Uncommitted Users"
"E01010847","West Yorkshire","Bradford 054A",7,"Passive and Uncommitted Users"
"E01010848","West Yorkshire","Bradford 054B",7,"Passive and Uncommitted Users"
"E01010849","West Yorkshire","Bradford 059C",8,"Digital Seniors"
"E01010850","West Yorkshire","Bradford 059D",7,"Passive and Uncommitted Users"
"E01010851","West Yorkshire","Bradford 059E",6,"e-Mainstream"
"E01010852","West Yorkshire","Bradford 054C",10,"e-Withdrawn"
"E01010853","West Yorkshire","Bradford 054D",6,"e-Mainstream"
"E01010854","West Yorkshire","Bradford 023A",6,"e-Mainstream"
"E01010855","West Yorkshire","Bradford 023B",5,"e-Rational Utilitarians"
"E01010856","West Yorkshire","Bradford 023C",6,"e-Mainstream"
"E01010857","West Yorkshire","Bradford 023D",5,"e-Rational Utilitarians"
"E01010858","West Yorkshire","Bradford 023E",3,"e-Veterans"
"E01010859","West Yorkshire","Bradford 012E",8,"Digital Seniors"
"E01010860","West Yorkshire","Bradford 014B",5,"e-Rational Utilitarians"
"E01010861","West Yorkshire","Bradford 023F",5,"e-Rational Utilitarians"
"E01010862","West Yorkshire","Bradford 014C",6,"e-Mainstream"
"E01010863","West Yorkshire","Bradford 014D",6,"e-Mainstream"
"E01010864","West Yorkshire","Bradford 059F",7,"Passive and Uncommitted Users"
"E01010865","West Yorkshire","Bradford 060D",6,"e-Mainstream"
"E01010866","West Yorkshire","Bradford 060E",6,"e-Mainstream"
"E01010867","West Yorkshire","Bradford 059G",7,"Passive and Uncommitted Users"
"E01010868","West Yorkshire","Bradford 061A",7,"Passive and Uncommitted Users"
"E01010869","West Yorkshire","Bradford 061B",7,"Passive and Uncommitted Users"
"E01010870","West Yorkshire","Bradford 061C",8,"Digital Seniors"
"E01010871","West Yorkshire","Bradford 061D",6,"e-Mainstream"
"E01010872","West Yorkshire","Bradford 061E",7,"Passive and Uncommitted Users"
"E01010873","West Yorkshire","Bradford 061F",8,"Digital Seniors"
"E01010874","West Yorkshire","Bradford 059H",10,"e-Withdrawn"
"E01010875","West Yorkshire","Calderdale 019A",5,"e-Rational Utilitarians"
"E01010876","West Yorkshire","Calderdale 019B",6,"e-Mainstream"
"E01010877","West Yorkshire","Calderdale 019C",7,"Passive and Uncommitted Users"
"E01010878","West Yorkshire","Calderdale 015A",6,"e-Mainstream"
"E01010879","West Yorkshire","Calderdale 015B",5,"e-Rational Utilitarians"
"E01010880","West Yorkshire","Calderdale 019D",7,"Passive and Uncommitted Users"
"E01010881","West Yorkshire","Calderdale 004A",3,"e-Veterans"
"E01010882","West Yorkshire","Calderdale 004B",5,"e-Rational Utilitarians"
"E01010883","West Yorkshire","Calderdale 004C",3,"e-Veterans"
"E01010884","West Yorkshire","Calderdale 022A",8,"Digital Seniors"
"E01010885","West Yorkshire","Calderdale 022B",5,"e-Rational Utilitarians"
"E01010886","West Yorkshire","Calderdale 022C",8,"Digital Seniors"
"E01010887","West Yorkshire","Calderdale 004D",3,"e-Veterans"
"E01010888","West Yorkshire","Calderdale 004E",3,"e-Veterans"
"E01010889","West Yorkshire","Calderdale 025A",10,"e-Withdrawn"
"E01010890","West Yorkshire","Calderdale 025B",6,"e-Mainstream"
"E01010891","West Yorkshire","Calderdale 024A",7,"Passive and Uncommitted Users"
"E01010892","West Yorkshire","Calderdale 024B",6,"e-Mainstream"
"E01010893","West Yorkshire","Calderdale 025C",7,"Passive and Uncommitted Users"
"E01010894","West Yorkshire","Calderdale 025D",7,"Passive and Uncommitted Users"
"E01010895","West Yorkshire","Calderdale 024C",7,"Passive and Uncommitted Users"
"E01010896","West Yorkshire","Calderdale 026A",3,"e-Veterans"
"E01010897","West Yorkshire","Calderdale 026B",5,"e-Rational Utilitarians"
"E01010898","West Yorkshire","Calderdale 026C",6,"e-Mainstream"
"E01010899","West Yorkshire","Calderdale 026D",6,"e-Mainstream"
"E01010900","West Yorkshire","Calderdale 026E",5,"e-Rational Utilitarians"
"E01010901","West Yorkshire","Calderdale 025E",6,"e-Mainstream"
"E01010902","West Yorkshire","Calderdale 026F",8,"Digital Seniors"
"E01010903","West Yorkshire","Calderdale 025F",8,"Digital Seniors"
"E01010904","West Yorkshire","Calderdale 011A",5,"e-Rational Utilitarians"
"E01010905","West Yorkshire","Calderdale 015C",5,"e-Rational Utilitarians"
"E01010906","West Yorkshire","Calderdale 011B",5,"e-Rational Utilitarians"
"E01010907","West Yorkshire","Calderdale 011C",5,"e-Rational Utilitarians"
"E01010908","West Yorkshire","Calderdale 015D",6,"e-Mainstream"
"E01010909","West Yorkshire","Calderdale 011D",6,"e-Mainstream"
"E01010910","West Yorkshire","Calderdale 015E",7,"Passive and Uncommitted Users"
"E01010911","West Yorkshire","Calderdale 001A",5,"e-Rational Utilitarians"
"E01010912","West Yorkshire","Calderdale 001B",7,"Passive and Uncommitted Users"
"E01010913","West Yorkshire","Calderdale 001C",8,"Digital Seniors"
"E01010914","West Yorkshire","Calderdale 002A",7,"Passive and Uncommitted Users"
"E01010915","West Yorkshire","Calderdale 001D",6,"e-Mainstream"
"E01010916","West Yorkshire","Calderdale 005A",7,"Passive and Uncommitted Users"
"E01010917","West Yorkshire","Calderdale 007A",5,"e-Rational Utilitarians"
