"lsoa11cd","CAUTH18NM","lsoa11nm","GRP_CD","GRP_LABEL"
"E01010918","West Yorkshire","Calderdale 007B",5,"e-Rational Utilitarians"
"E01010919","West Yorkshire","Calderdale 007C",8,"Digital Seniors"
"E01010920","West Yorkshire","Calderdale 007D",5,"e-Rational Utilitarians"
"E01010921","West Yorkshire","Calderdale 007E",8,"Digital Seniors"
"E01010922","West Yorkshire","Calderdale 020A",6,"e-Mainstream"
"E01010923","West Yorkshire","Calderdale 004F",3,"e-Veterans"
"E01010924","West Yorkshire","Calderdale 002B",10,"e-Withdrawn"
"E01010925","West Yorkshire","Calderdale 002C",7,"Passive and Uncommitted Users"
"E01010926","West Yorkshire","Calderdale 002D",10,"e-Withdrawn"
"E01010927","West Yorkshire","Calderdale 009A",8,"Digital Seniors"
"E01010928","West Yorkshire","Calderdale 009B",7,"Passive and Uncommitted Users"
"E01010929","West Yorkshire","Calderdale 010A",7,"Passive and Uncommitted Users"
"E01010930","West Yorkshire","Calderdale 010B",10,"e-Withdrawn"
"E01010931","West Yorkshire","Calderdale 003A",8,"Digital Seniors"
"E01010932","West Yorkshire","Calderdale 003B",8,"Digital Seniors"
"E01010933","West Yorkshire","Calderdale 003C",5,"e-Rational Utilitarians"
"E01010934","West Yorkshire","Calderdale 008A",8,"Digital Seniors"
"E01010935","West Yorkshire","Calderdale 003D",8,"Digital Seniors"
"E01010936","West Yorkshire","Calderdale 003E",5,"e-Rational Utilitarians"
"E01010937","West Yorkshire","Calderdale 003F",5,"e-Rational Utilitarians"
"E01010938","West Yorkshire","Calderdale 006A",10,"e-Withdrawn"
"E01010939","West Yorkshire","Calderdale 005B",6,"e-Mainstream"
"E01010940","West Yorkshire","Calderdale 006B",7,"Passive and Uncommitted Users"
"E01010941","West Yorkshire","Calderdale 005C",7,"Passive and Uncommitted Users"
"E01010942","West Yorkshire","Calderdale 005D",7,"Passive and Uncommitted Users"
"E01010943","West Yorkshire","Calderdale 006C",10,"e-Withdrawn"
"E01010944","West Yorkshire","Calderdale 005E",10,"e-Withdrawn"
"E01010945","West Yorkshire","Calderdale 024D",8,"Digital Seniors"
"E01010946","West Yorkshire","Calderdale 023A",5,"e-Rational Utilitarians"
"E01010947","West Yorkshire","Calderdale 023B",5,"e-Rational Utilitarians"
"E01010948","West Yorkshire","Calderdale 024E",7,"Passive and Uncommitted Users"
"E01010949","West Yorkshire","Calderdale 019E",6,"e-Mainstream"
"E01010950","West Yorkshire","Calderdale 023C",7,"Passive and Uncommitted Users"
"E01010951","West Yorkshire","Calderdale 023D",8,"Digital Seniors"
"E01010952","West Yorkshire","Calderdale 027A",5,"e-Rational Utilitarians"
"E01010953","West Yorkshire","Calderdale 027B",5,"e-Rational Utilitarians"
"E01010954","West Yorkshire","Calderdale 027C",3,"e-Veterans"
"E01010955","West Yorkshire","Calderdale 027D",3,"e-Veterans"
"E01010956","West Yorkshire","Calderdale 020B",5,"e-Rational Utilitarians"
"E01010957","West Yorkshire","Calderdale 027E",5,"e-Rational Utilitarians"
"E01010958","West Yorkshire","Calderdale 020C",10,"e-Withdrawn"
"E01010959","West Yorkshire","Calderdale 020D",8,"Digital Seniors"
"E01010960","West Yorkshire","Calderdale 012A",10,"e-Withdrawn"
"E01010961","West Yorkshire","Calderdale 006D",7,"Passive and Uncommitted Users"
"E01010964","West Yorkshire","Calderdale 012B",10,"e-Withdrawn"
"E01010965","West Yorkshire","Calderdale 012C",10,"e-Withdrawn"
"E01010966","West Yorkshire","Calderdale 012D",10,"e-Withdrawn"
"E01010967","West Yorkshire","Calderdale 008D",10,"e-Withdrawn"
"E01010968","West Yorkshire","Calderdale 021A",3,"e-Veterans"
"E01010969","West Yorkshire","Calderdale 016A",3,"e-Veterans"
"E01010970","West Yorkshire","Calderdale 016B",6,"e-Mainstream"
"E01010971","West Yorkshire","Calderdale 021B",5,"e-Rational Utilitarians"
"E01010972","West Yorkshire","Calderdale 021C",3,"e-Veterans"
"E01010973","West Yorkshire","Calderdale 021D",8,"Digital Seniors"
"E01010974","West Yorkshire","Calderdale 016C",10,"e-Withdrawn"
"E01010975","West Yorkshire","Calderdale 017A",7,"Passive and Uncommitted Users"
"E01010976","West Yorkshire","Calderdale 017B",5,"e-Rational Utilitarians"
"E01010977","West Yorkshire","Calderdale 016D",8,"Digital Seniors"
"E01010978","West Yorkshire","Calderdale 017C",6,"e-Mainstream"
"E01010979","West Yorkshire","Calderdale 017D",7,"Passive and Uncommitted Users"
"E01010980","West Yorkshire","Calderdale 017E",7,"Passive and Uncommitted Users"
"E01010981","West Yorkshire","Calderdale 017F",6,"e-Mainstream"
"E01010982","West Yorkshire","Calderdale 013A",5,"e-Rational Utilitarians"
"E01010983","West Yorkshire","Calderdale 013B",4,"Youthful Urban Fringe"
"E01010984","West Yorkshire","Calderdale 022D",6,"e-Mainstream"
"E01010985","West Yorkshire","Calderdale 013C",6,"e-Mainstream"
"E01010986","West Yorkshire","Calderdale 013D",6,"e-Mainstream"
"E01010987","West Yorkshire","Calderdale 013E",6,"e-Mainstream"
"E01010988","West Yorkshire","Calderdale 013F",7,"Passive and Uncommitted Users"
"E01010989","West Yorkshire","Calderdale 018A",6,"e-Mainstream"
"E01010990","West Yorkshire","Calderdale 018B",8,"Digital Seniors"
"E01010991","West Yorkshire","Calderdale 018C",8,"Digital Seniors"
"E01010992","West Yorkshire","Calderdale 018D",6,"e-Mainstream"
"E01010993","West Yorkshire","Calderdale 018E",7,"Passive and Uncommitted Users"
"E01010994","West Yorkshire","Calderdale 008E",10,"e-Withdrawn"
"E01010995","West Yorkshire","Calderdale 012E",10,"e-Withdrawn"
"E01010996","West Yorkshire","Calderdale 014A",10,"e-Withdrawn"
"E01010997","West Yorkshire","Calderdale 009C",8,"Digital Seniors"
"E01010998","West Yorkshire","Calderdale 010C",7,"Passive and Uncommitted Users"
"E01010999","West Yorkshire","Calderdale 009D",8,"Digital Seniors"
"E01011000","West Yorkshire","Calderdale 010D",10,"e-Withdrawn"
"E01011001","West Yorkshire","Calderdale 014B",10,"e-Withdrawn"
"E01011002","West Yorkshire","Calderdale 014C",7,"Passive and Uncommitted Users"
"E01011003","West Yorkshire","Calderdale 014D",10,"e-Withdrawn"
"E01011004","West Yorkshire","Kirklees 040A",10,"e-Withdrawn"
"E01011005","West Yorkshire","Kirklees 044A",8,"Digital Seniors"
"E01011006","West Yorkshire","Kirklees 040B",6,"e-Mainstream"
"E01011007","West Yorkshire","Kirklees 042A",2,"e-Professionals"
"E01011008","West Yorkshire","Kirklees 040C",4,"Youthful Urban Fringe"
"E01011009","West Yorkshire","Kirklees 044B",8,"Digital Seniors"
"E01011010","West Yorkshire","Kirklees 044C",7,"Passive and Uncommitted Users"
"E01011011","West Yorkshire","Kirklees 044D",5,"e-Rational Utilitarians"
"E01011012","West Yorkshire","Kirklees 040D",6,"e-Mainstream"
"E01011013","West Yorkshire","Kirklees 007A",9,"Settled Offline Communities"
"E01011014","West Yorkshire","Kirklees 007B",7,"Passive and Uncommitted Users"
"E01011015","West Yorkshire","Kirklees 010A",10,"e-Withdrawn"
"E01011016","West Yorkshire","Kirklees 013A",10,"e-Withdrawn"
"E01011017","West Yorkshire","Kirklees 013B",10,"e-Withdrawn"
"E01011018","West Yorkshire","Kirklees 013C",10,"e-Withdrawn"
"E01011019","West Yorkshire","Kirklees 013D",10,"e-Withdrawn"
"E01011020","West Yorkshire","Kirklees 013E",10,"e-Withdrawn"
"E01011021","West Yorkshire","Kirklees 014A",6,"e-Mainstream"
"E01011022","West Yorkshire","Kirklees 014B",6,"e-Mainstream"
"E01011023","West Yorkshire","Kirklees 007C",7,"Passive and Uncommitted Users"
"E01011024","West Yorkshire","Kirklees 007D",7,"Passive and Uncommitted Users"
"E01011025","West Yorkshire","Kirklees 016A",7,"Passive and Uncommitted Users"
"E01011026","West Yorkshire","Kirklees 016B",7,"Passive and Uncommitted Users"
"E01011027","West Yorkshire","Kirklees 006A",7,"Passive and Uncommitted Users"
"E01011028","West Yorkshire","Kirklees 006B",7,"Passive and Uncommitted Users"
"E01011029","West Yorkshire","Kirklees 010B",10,"e-Withdrawn"
"E01011030","West Yorkshire","Kirklees 006C",7,"Passive and Uncommitted Users"
"E01011031","West Yorkshire","Kirklees 006D",7,"Passive and Uncommitted Users"
"E01011032","West Yorkshire","Kirklees 010C",10,"e-Withdrawn"
"E01011033","West Yorkshire","Kirklees 012A",7,"Passive and Uncommitted Users"
"E01011034","West Yorkshire","Kirklees 010D",10,"e-Withdrawn"
"E01011035","West Yorkshire","Kirklees 012B",10,"e-Withdrawn"
"E01011036","West Yorkshire","Kirklees 012C",10,"e-Withdrawn"
"E01011037","West Yorkshire","Kirklees 012D",7,"Passive and Uncommitted Users"
"E01011038","West Yorkshire","Kirklees 029A",10,"e-Withdrawn"
"E01011039","West Yorkshire","Kirklees 027A",7,"Passive and Uncommitted Users"
"E01011040","West Yorkshire","Kirklees 031A",4,"Youthful Urban Fringe"
"E01011041","West Yorkshire","Kirklees 029B",7,"Passive and Uncommitted Users"
"E01011042","West Yorkshire","Kirklees 027B",3,"e-Veterans"
"E01011043","West Yorkshire","Kirklees 031B",7,"Passive and Uncommitted Users"
"E01011044","West Yorkshire","Kirklees 031C",7,"Passive and Uncommitted Users"
"E01011045","West Yorkshire","Kirklees 031D",10,"e-Withdrawn"
"E01011046","West Yorkshire","Kirklees 022A",3,"e-Veterans"
"E01011047","West Yorkshire","Kirklees 027C",5,"e-Rational Utilitarians"
"E01011048","West Yorkshire","Kirklees 002A",7,"Passive and Uncommitted Users"
"E01011049","West Yorkshire","Kirklees 002B",7,"Passive and Uncommitted Users"
"E01011050","West Yorkshire","Kirklees 002C",8,"Digital Seniors"
"E01011051","West Yorkshire","Kirklees 001A",6,"e-Mainstream"
"E01011052","West Yorkshire","Kirklees 002D",6,"e-Mainstream"
"E01011053","West Yorkshire","Kirklees 002E",8,"Digital Seniors"
"E01011054","West Yorkshire","Kirklees 006E",8,"Digital Seniors"
"E01011055","West Yorkshire","Kirklees 001B",6,"e-Mainstream"
"E01011056","West Yorkshire","Kirklees 001C",8,"Digital Seniors"
"E01011057","West Yorkshire","Kirklees 001D",5,"e-Rational Utilitarians"
"E01011058","West Yorkshire","Kirklees 001E",8,"Digital Seniors"
"E01011059","West Yorkshire","Kirklees 002F",10,"e-Withdrawn"
"E01011060","West Yorkshire","Kirklees 005A",7,"Passive and Uncommitted Users"
"E01011061","West Yorkshire","Kirklees 005B",7,"Passive and Uncommitted Users"
"E01011062","West Yorkshire","Kirklees 003A",6,"e-Mainstream"
"E01011063","West Yorkshire","Kirklees 005C",6,"e-Mainstream"
"E01011064","West Yorkshire","Kirklees 003B",7,"Passive and Uncommitted Users"
"E01011065","West Yorkshire","Kirklees 005D",6,"e-Mainstream"
"E01011066","West Yorkshire","Kirklees 005E",6,"e-Mainstream"
"E01011067","West Yorkshire","Kirklees 008A",8,"Digital Seniors"
"E01011068","West Yorkshire","Kirklees 003C",6,"e-Mainstream"
"E01011069","West Yorkshire","Kirklees 003D",8,"Digital Seniors"
"E01011070","West Yorkshire","Kirklees 052A",5,"e-Rational Utilitarians"
"E01011071","West Yorkshire","Kirklees 049A",5,"e-Rational Utilitarians"
"E01011072","West Yorkshire","Kirklees 049B",6,"e-Mainstream"
"E01011073","West Yorkshire","Kirklees 049C",7,"Passive and Uncommitted Users"
"E01011074","West Yorkshire","Kirklees 052B",5,"e-Rational Utilitarians"
"E01011075","West Yorkshire","Kirklees 052C",8,"Digital Seniors"
"E01011076","West Yorkshire","Kirklees 052D",6,"e-Mainstream"
"E01011077","West Yorkshire","Kirklees 045A",6,"e-Mainstream"
"E01011078","West Yorkshire","Kirklees 049D",6,"e-Mainstream"
"E01011079","West Yorkshire","Kirklees 047A",7,"Passive and Uncommitted Users"
"E01011080","West Yorkshire","Kirklees 043A",10,"e-Withdrawn"
"E01011081","West Yorkshire","Kirklees 043B",7,"Passive and Uncommitted Users"
"E01011082","West Yorkshire","Kirklees 043C",10,"e-Withdrawn"
"E01011083","West Yorkshire","Kirklees 047B",7,"Passive and Uncommitted Users"
"E01011084","West Yorkshire","Kirklees 047C",10,"e-Withdrawn"
"E01011085","West Yorkshire","Kirklees 047D",7,"Passive and Uncommitted Users"
"E01011086","West Yorkshire","Kirklees 050A",8,"Digital Seniors"
"E01011087","West Yorkshire","Kirklees 050B",8,"Digital Seniors"
"E01011088","West Yorkshire","Kirklees 050C",8,"Digital Seniors"
"E01011089","West Yorkshire","Kirklees 032A",7,"Passive and Uncommitted Users"
"E01011090","West Yorkshire","Kirklees 037A",7,"Passive and Uncommitted Users"
"E01011091","West Yorkshire","Kirklees 032B",5,"e-Rational Utilitarians"
"E01011092","West Yorkshire","Kirklees 032C",5,"e-Rational Utilitarians"
"E01011093","West Yorkshire","Kirklees 035A",10,"e-Withdrawn"
"E01011094","West Yorkshire","Kirklees 035B",10,"e-Withdrawn"
"E01011095","West Yorkshire","Kirklees 037B",7,"Passive and Uncommitted Users"
"E01011096","West Yorkshire","Kirklees 035C",7,"Passive and Uncommitted Users"
"E01011097","West Yorkshire","Kirklees 037C",7,"Passive and Uncommitted Users"
"E01011098","West Yorkshire","Kirklees 035D",4,"Youthful Urban Fringe"
"E01011099","West Yorkshire","Kirklees 037D",7,"Passive and Uncommitted Users"
"E01011100","West Yorkshire","Kirklees 022B",7,"Passive and Uncommitted Users"
"E01011101","West Yorkshire","Kirklees 025A",10,"e-Withdrawn"
"E01011102","West Yorkshire","Kirklees 022C",3,"e-Veterans"
"E01011103","West Yorkshire","Kirklees 025B",10,"e-Withdrawn"
"E01011104","West Yorkshire","Kirklees 025C",7,"Passive and Uncommitted Users"
"E01011105","West Yorkshire","Kirklees 025D",7,"Passive and Uncommitted Users"
"E01011106","West Yorkshire","Kirklees 029C",7,"Passive and Uncommitted Users"
"E01011107","West Yorkshire","Kirklees 029D",7,"Passive and Uncommitted Users"
"E01011108","West Yorkshire","Kirklees 022D",6,"e-Mainstream"
"E01011109","West Yorkshire","Kirklees 054A",5,"e-Rational Utilitarians"
"E01011110","West Yorkshire","Kirklees 057A",5,"e-Rational Utilitarians"
"E01011111","West Yorkshire","Kirklees 057B",6,"e-Mainstream"
"E01011112","West Yorkshire","Kirklees 057C",5,"e-Rational Utilitarians"
"E01011113","West Yorkshire","Kirklees 054B",5,"e-Rational Utilitarians"
"E01011114","West Yorkshire","Kirklees 054C",7,"Passive and Uncommitted Users"
"E01011115","West Yorkshire","Kirklees 057D",5,"e-Rational Utilitarians"
"E01011116","West Yorkshire","Kirklees 057E",5,"e-Rational Utilitarians"
"E01011117","West Yorkshire","Kirklees 057F",5,"e-Rational Utilitarians"
"E01011118","West Yorkshire","Kirklees 056A",3,"e-Veterans"
"E01011119","West Yorkshire","Kirklees 054D",8,"Digital Seniors"
"E01011120","West Yorkshire","Kirklees 056B",3,"e-Veterans"
"E01011121","West Yorkshire","Kirklees 018A",7,"Passive and Uncommitted Users"
"E01011122","West Yorkshire","Kirklees 018B",10,"e-Withdrawn"
"E01011123","West Yorkshire","Kirklees 018C",7,"Passive and Uncommitted Users"
"E01011124","West Yorkshire","Kirklees 018D",6,"e-Mainstream"
"E01011125","West Yorkshire","Kirklees 018E",7,"Passive and Uncommitted Users"
"E01011126","West Yorkshire","Kirklees 014C",10,"e-Withdrawn"
"E01011127","West Yorkshire","Kirklees 014D",8,"Digital Seniors"
"E01011128","West Yorkshire","Kirklees 017A",10,"e-Withdrawn"
"E01011129","West Yorkshire","Kirklees 018F",6,"e-Mainstream"
"E01011130","West Yorkshire","Kirklees 017B",10,"e-Withdrawn"
"E01011132","West Yorkshire","Kirklees 020A",5,"e-Rational Utilitarians"
"E01011133","West Yorkshire","Kirklees 023A",10,"e-Withdrawn"
"E01011134","West Yorkshire","Kirklees 023B",10,"e-Withdrawn"
"E01011136","West Yorkshire","Kirklees 016C",7,"Passive and Uncommitted Users"
"E01011137","West Yorkshire","Kirklees 016D",7,"Passive and Uncommitted Users"
"E01011138","West Yorkshire","Kirklees 019A",10,"e-Withdrawn"
"E01011139","West Yorkshire","Kirklees 019B",10,"e-Withdrawn"
"E01011140","West Yorkshire","Kirklees 019C",10,"e-Withdrawn"
"E01011141","West Yorkshire","Kirklees 019D",10,"e-Withdrawn"
"E01011142","West Yorkshire","Kirklees 020B",6,"e-Mainstream"
"E01011143","West Yorkshire","Kirklees 023C",10,"e-Withdrawn"
"E01011144","West Yorkshire","Kirklees 023D",10,"e-Withdrawn"
"E01011145","West Yorkshire","Kirklees 041A",8,"Digital Seniors"
"E01011146","West Yorkshire","Kirklees 036A",5,"e-Rational Utilitarians"
"E01011147","West Yorkshire","Kirklees 041B",6,"e-Mainstream"
"E01011148","West Yorkshire","Kirklees 041C",10,"e-Withdrawn"
"E01011149","West Yorkshire","Kirklees 045B",6,"e-Mainstream"
"E01011150","West Yorkshire","Kirklees 038A",6,"e-Mainstream"
"E01011151","West Yorkshire","Kirklees 036B",3,"e-Veterans"
"E01011152","West Yorkshire","Kirklees 041D",3,"e-Veterans"
"E01011153","West Yorkshire","Kirklees 045C",6,"e-Mainstream"
"E01011154","West Yorkshire","Kirklees 045D",6,"e-Mainstream"
"E01011155","West Yorkshire","Kirklees 038B",3,"e-Veterans"
"E01011156","West Yorkshire","Kirklees 015A",8,"Digital Seniors"
"E01011157","West Yorkshire","Kirklees 011A",7,"Passive and Uncommitted Users"
"E01011158","West Yorkshire","Kirklees 015B",6,"e-Mainstream"
"E01011159","West Yorkshire","Kirklees 015C",5,"e-Rational Utilitarians"
"E01011160","West Yorkshire","Kirklees 015D",3,"e-Veterans"
"E01011161","West Yorkshire","Kirklees 011B",6,"e-Mainstream"
"E01011162","West Yorkshire","Kirklees 015E",8,"Digital Seniors"
"E01011163","West Yorkshire","Kirklees 011C",10,"e-Withdrawn"
"E01011164","West Yorkshire","Kirklees 011D",7,"Passive and Uncommitted Users"
"E01011165","West Yorkshire","Kirklees 011E",7,"Passive and Uncommitted Users"
"E01011166","West Yorkshire","Kirklees 011F",7,"Passive and Uncommitted Users"
"E01011167","West Yorkshire","Kirklees 011G",10,"e-Withdrawn"
"E01011168","West Yorkshire","Kirklees 055A",5,"e-Rational Utilitarians"
"E01011169","West Yorkshire","Kirklees 053A",5,"e-Rational Utilitarians"
"E01011170","West Yorkshire","Kirklees 053B",5,"e-Rational Utilitarians"
"E01011171","West Yorkshire","Kirklees 053C",3,"e-Veterans"
"E01011172","West Yorkshire","Kirklees 053D",10,"e-Withdrawn"
"E01011173","West Yorkshire","Kirklees 053E",5,"e-Rational Utilitarians"
"E01011174","West Yorkshire","Kirklees 055B",5,"e-Rational Utilitarians"
"E01011175","West Yorkshire","Kirklees 055C",7,"Passive and Uncommitted Users"
"E01011176","West Yorkshire","Kirklees 053F",5,"e-Rational Utilitarians"
"E01011177","West Yorkshire","Kirklees 055D",5,"e-Rational Utilitarians"
"E01011178","West Yorkshire","Kirklees 055E",7,"Passive and Uncommitted Users"
"E01011179","West Yorkshire","Kirklees 059A",5,"e-Rational Utilitarians"
"E01011180","West Yorkshire","Kirklees 058A",5,"e-Rational Utilitarians"
"E01011181","West Yorkshire","Kirklees 059B",3,"e-Veterans"
"E01011182","West Yorkshire","Kirklees 058B",5,"e-Rational Utilitarians"
"E01011183","West Yorkshire","Kirklees 059C",3,"e-Veterans"
"E01011184","West Yorkshire","Kirklees 059D",8,"Digital Seniors"
"E01011185","West Yorkshire","Kirklees 059E",5,"e-Rational Utilitarians"
"E01011186","West Yorkshire","Kirklees 058C",5,"e-Rational Utilitarians"
"E01011187","West Yorkshire","Kirklees 059F",5,"e-Rational Utilitarians"
"E01011188","West Yorkshire","Kirklees 058D",5,"e-Rational Utilitarians"
"E01011189","West Yorkshire","Kirklees 059G",5,"e-Rational Utilitarians"
"E01011190","West Yorkshire","Kirklees 051A",5,"e-Rational Utilitarians"
"E01011191","West Yorkshire","Kirklees 046A",8,"Digital Seniors"
"E01011192","West Yorkshire","Kirklees 046B",8,"Digital Seniors"
"E01011193","West Yorkshire","Kirklees 046C",5,"e-Rational Utilitarians"
"E01011194","West Yorkshire","Kirklees 046D",8,"Digital Seniors"
"E01011195","West Yorkshire","Kirklees 051B",3,"e-Veterans"
"E01011196","West Yorkshire","Kirklees 051C",5,"e-Rational Utilitarians"
"E01011197","West Yorkshire","Kirklees 051D",6,"e-Mainstream"
"E01011198","West Yorkshire","Kirklees 056C",5,"e-Rational Utilitarians"
"E01011199","West Yorkshire","Kirklees 056D",5,"e-Rational Utilitarians"
"E01011200","West Yorkshire","Kirklees 032D",3,"e-Veterans"
"E01011201","West Yorkshire","Kirklees 030A",6,"e-Mainstream"
"E01011202","West Yorkshire","Kirklees 036C",8,"Digital Seniors"
"E01011203","West Yorkshire","Kirklees 030B",6,"e-Mainstream"
"E01011204","West Yorkshire","Kirklees 033A",3,"e-Veterans"
"E01011205","West Yorkshire","Kirklees 036D",3,"e-Veterans"
"E01011206","West Yorkshire","Kirklees 033B",6,"e-Mainstream"
"E01011207","West Yorkshire","Kirklees 038C",6,"e-Mainstream"
"E01011208","West Yorkshire","Kirklees 033C",6,"e-Mainstream"
"E01011209","West Yorkshire","Kirklees 030C",6,"e-Mainstream"
"E01011210","West Yorkshire","Kirklees 027D",3,"e-Veterans"
"E01011211","West Yorkshire","Kirklees 030D",8,"Digital Seniors"
"E01011212","West Yorkshire","Kirklees 026A",7,"Passive and Uncommitted Users"
"E01011213","West Yorkshire","Kirklees 026B",8,"Digital Seniors"
"E01011214","West Yorkshire","Kirklees 026C",5,"e-Rational Utilitarians"
"E01011215","West Yorkshire","Kirklees 026D",6,"e-Mainstream"
"E01011216","West Yorkshire","Kirklees 021A",5,"e-Rational Utilitarians"
"E01011217","West Yorkshire","Kirklees 020C",9,"Settled Offline Communities"
"E01011218","West Yorkshire","Kirklees 020D",7,"Passive and Uncommitted Users"
"E01011219","West Yorkshire","Kirklees 021B",6,"e-Mainstream"
"E01011220","West Yorkshire","Kirklees 021C",7,"Passive and Uncommitted Users"
"E01011221","West Yorkshire","Kirklees 021D",6,"e-Mainstream"
"E01011222","West Yorkshire","Kirklees 050D",7,"Passive and Uncommitted Users"
"E01011223","West Yorkshire","Kirklees 042B",6,"e-Mainstream"
"E01011224","West Yorkshire","Kirklees 048A",7,"Passive and Uncommitted Users"
"E01011225","West Yorkshire","Kirklees 042C",4,"Youthful Urban Fringe"
"E01011226","West Yorkshire","Kirklees 048B",6,"e-Mainstream"
"E01011227","West Yorkshire","Kirklees 048C",10,"e-Withdrawn"
"E01011228","West Yorkshire","Kirklees 048D",6,"e-Mainstream"
"E01011229","West Yorkshire","Kirklees 042D",1,"e-Cultural Creators"
"E01011230","West Yorkshire","Kirklees 043D",10,"e-Withdrawn"
"E01011231","West Yorkshire","Kirklees 034A",6,"e-Mainstream"
"E01011232","West Yorkshire","Kirklees 039A",7,"Passive and Uncommitted Users"
"E01011233","West Yorkshire","Kirklees 039B",6,"e-Mainstream"
"E01011234","West Yorkshire","Kirklees 038D",7,"Passive and Uncommitted Users"
"E01011235","West Yorkshire","Kirklees 039C",7,"Passive and Uncommitted Users"
"E01011236","West Yorkshire","Kirklees 034B",4,"Youthful Urban Fringe"
"E01011237","West Yorkshire","Kirklees 039D",7,"Passive and Uncommitted Users"
"E01011238","West Yorkshire","Kirklees 034C",4,"Youthful Urban Fringe"
"E01011239","West Yorkshire","Kirklees 034D",3,"e-Veterans"
"E01011240","West Yorkshire","Kirklees 033D",7,"Passive and Uncommitted Users"
"E01011241","West Yorkshire","Kirklees 004A",5,"e-Rational Utilitarians"
"E01011242","West Yorkshire","Kirklees 004B",7,"Passive and Uncommitted Users"
"E01011243","West Yorkshire","Kirklees 004C",6,"e-Mainstream"
"E01011244","West Yorkshire","Kirklees 004D",6,"e-Mainstream"
"E01011245","West Yorkshire","Kirklees 009A",8,"Digital Seniors"
"E01011246","West Yorkshire","Kirklees 009B",7,"Passive and Uncommitted Users"
"E01011247","West Yorkshire","Kirklees 008B",6,"e-Mainstream"
"E01011248","West Yorkshire","Kirklees 009C",7,"Passive and Uncommitted Users"
"E01011249","West Yorkshire","Kirklees 008C",7,"Passive and Uncommitted Users"
"E01011250","West Yorkshire","Kirklees 009D",7,"Passive and Uncommitted Users"
"E01011251","West Yorkshire","Kirklees 008D",7,"Passive and Uncommitted Users"
"E01011252","West Yorkshire","Kirklees 028A",5,"e-Rational Utilitarians"
"E01011253","West Yorkshire","Kirklees 028B",7,"Passive and Uncommitted Users"
"E01011254","West Yorkshire","Kirklees 028C",8,"Digital Seniors"
"E01011255","West Yorkshire","Kirklees 028D",10,"e-Withdrawn"
"E01011256","West Yorkshire","Kirklees 028E",7,"Passive and Uncommitted Users"
"E01011257","West Yorkshire","Kirklees 024A",10,"e-Withdrawn"
"E01011258","West Yorkshire","Kirklees 024B",10,"e-Withdrawn"
"E01011259","West Yorkshire","Kirklees 024C",10,"e-Withdrawn"
"E01011260","West Yorkshire","Kirklees 023E",7,"Passive and Uncommitted Users"
"E01011261","West Yorkshire","Kirklees 024D",10,"e-Withdrawn"
"E01011262","West Yorkshire","Kirklees 024E",10,"e-Withdrawn"
